instant,season,yr,mnth,day,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1492,winter,2011,3,07,12,0,1,1,1,0.3,0.2727,0.42,0.4179,28,68,96
1493,winter,2011,3,07,13,0,1,1,1,0.32,0.2879,0.36,0.3881,16,54,70
1494,winter,2011,3,07,14,0,1,1,1,0.32,0.2879,0.36,0.4179,21,56,77
1495,winter,2011,3,07,15,0,1,1,1,0.34,0.303,0.31,0.3881,32,64,96
1496,winter,2011,3,07,16,0,1,1,1,0.34,0.303,0.31,0.3582,26,96,122
1497,winter,2011,3,07,17,0,1,1,1,0.34,0.303,0.29,0.3582,27,206,233
1498,winter,2011,3,07,18,0,1,1,1,0.32,0.303,0.31,0.2239,19,214,233
1499,winter,2011,3,07,19,0,1,1,1,0.3,0.2879,0.33,0.2239,11,134,145
1500,winter,2011,3,07,20,0,1,1,1,0.3,0.303,0.33,0.1642,5,87,92
1501,winter,2011,3,07,21,0,1,1,1,0.28,0.2727,0.38,0.2239,1,53,54
1502,winter,2011,3,07,22,0,1,1,1,0.26,0.2576,0.48,0.1642,1,34,35
1503,winter,2011,3,07,23,0,1,1,1,0.28,0.3182,0.48,0.0,0,22,22
1504,winter,2011,3,08,0,0,2,1,1,0.26,0.2879,0.48,0.0896,1,9,10
1505,winter,2011,3,08,1,0,2,1,1,0.24,0.2424,0.52,0.1343,0,4,4
1506,winter,2011,3,08,2,0,2,1,1,0.24,0.2424,0.52,0.1343,1,0,1
1507,winter,2011,3,08,3,0,2,1,1,0.24,0.2576,0.52,0.0896,5,2,7
1508,winter,2011,3,08,4,0,2,1,1,0.22,0.2727,0.64,0.0,0,2,2
1509,winter,2011,3,08,5,0,2,1,1,0.2,0.2273,0.69,0.1045,2,8,10
1510,winter,2011,3,08,6,0,2,1,1,0.2,0.2576,0.59,0.0,3,42,45
1511,winter,2011,3,08,7,0,2,1,1,0.18,0.197,0.64,0.1343,9,119,128
1512,winter,2011,3,08,8,0,2,1,1,0.22,0.2273,0.55,0.194,10,247,257
1513,winter,2011,3,08,9,0,2,1,1,0.26,0.2576,0.41,0.1642,11,140,151
1514,winter,2011,3,08,10,0,2,1,2,0.3,0.2879,0.33,0.194,25,46,71
1515,winter,2011,3,08,11,0,2,1,2,0.36,0.3485,0.25,0.1642,26,52,78
1516,winter,2011,3,08,12,0,2,1,2,0.36,0.3788,0.23,0.0,29,70,99
1517,winter,2011,3,08,13,0,2,1,2,0.38,0.3939,0.25,0.1045,25,73,98
1518,winter,2011,3,08,14,0,2,1,2,0.38,0.3939,0.2,0.0,16,56,72
1519,winter,2011,3,08,15,0,2,1,2,0.36,0.3788,0.18,0.0,35,77,112
1520,winter,2011,3,08,16,0,2,1,1,0.38,0.3939,0.27,0.1642,26,82,108
1521,winter,2011,3,08,17,0,2,1,1,0.36,0.3485,0.27,0.2239,39,209,248
1522,winter,2011,3,08,18,0,2,1,1,0.34,0.3333,0.27,0.194,21,214,235
1523,winter,2011,3,08,19,0,2,1,1,0.34,0.3485,0.31,0.1045,9,141,150
1524,winter,2011,3,08,20,0,2,1,1,0.32,0.3333,0.39,0.0896,2,74,76
1525,winter,2011,3,08,21,0,2,1,1,0.3,0.2879,0.49,0.194,7,68,75
1526,winter,2011,3,08,22,0,2,1,1,0.3,0.2879,0.49,0.2239,11,44,55
1527,winter,2011,3,08,23,0,2,1,1,0.28,0.2727,0.61,0.194,3,38,41
1528,winter,2011,3,09,0,0,3,1,1,0.26,0.2879,0.65,0.0896,0,9,9
1529,winter,2011,3,09,1,0,3,1,1,0.26,0.2727,0.52,0.1343,0,4,4
1530,winter,2011,3,09,2,0,3,1,1,0.26,0.2727,0.52,0.1343,1,1,2
1531,winter,2011,3,09,3,0,3,1,1,0.24,0.2576,0.7,0.0896,1,2,3
1532,winter,2011,3,09,4,0,3,1,1,0.24,0.2576,0.75,0.1045,0,2,2
1533,winter,2011,3,09,5,0,3,1,2,0.24,0.2424,0.81,0.1343,1,7,8
1534,winter,2011,3,09,6,0,3,1,2,0.24,0.2576,0.85,0.1045,5,44,49
1535,winter,2011,3,09,7,0,3,1,2,0.24,0.2424,0.87,0.1642,18,123,141
1536,winter,2011,3,09,8,0,3,1,2,0.24,0.2424,0.87,0.1343,11,238,249
1537,winter,2011,3,09,9,0,3,1,2,0.26,0.2424,0.87,0.2537,5,136,141
1538,winter,2011,3,09,10,0,3,1,2,0.3,0.2879,0.75,0.2537,8,49,57
1539,winter,2011,3,09,11,0,3,1,2,0.32,0.2879,0.76,0.3881,15,44,59
1540,winter,2011,3,09,12,0,3,1,2,0.32,0.303,0.76,0.2537,14,84,98
1541,winter,2011,3,09,13,0,3,1,2,0.32,0.2879,0.76,0.3582,17,82,99
1542,winter,2011,3,09,14,0,3,1,2,0.34,0.303,0.76,0.2985,10,61,71
1543,winter,2011,3,09,15,0,3,1,2,0.36,0.3333,0.71,0.2985,15,64,79
1544,winter,2011,3,09,16,0,3,1,2,0.34,0.303,0.76,0.3284,10,102,112
1545,winter,2011,3,09,17,0,3,1,2,0.34,0.303,0.76,0.2985,18,176,194
1546,winter,2011,3,09,18,0,3,1,2,0.34,0.3182,0.76,0.2537,12,176,188
1547,winter,2011,3,09,19,0,3,1,2,0.34,0.303,0.76,0.3284,11,123,134
1548,winter,2011,3,09,20,0,3,1,2,0.32,0.3182,0.87,0.194,4,87,91
1549,winter,2011,3,09,21,0,3,1,2,0.32,0.303,0.93,0.3284,10,52,62
1550,winter,2011,3,09,22,0,3,1,3,0.32,0.3182,0.93,0.1642,4,17,21
1551,winter,2011,3,09,23,0,3,1,3,0.34,0.3333,0.93,0.194,1,17,18
1552,winter,2011,3,10,0,0,4,1,3,0.34,0.3182,0.0,0.2537,3,0,3
1553,winter,2011,3,10,1,0,4,1,3,0.34,0.3182,0.0,0.2537,0,2,2
1554,winter,2011,3,10,2,0,4,1,3,0.34,0.3182,0.0,0.2537,0,1,1
1555,winter,2011,3,10,5,0,4,1,3,0.36,0.3485,0.0,0.194,1,2,3
1556,winter,2011,3,10,6,0,4,1,3,0.36,0.3333,0.0,0.3284,0,12,12
1557,winter,2011,3,10,7,0,4,1,3,0.38,0.3939,0.0,0.2239,1,36,37
1558,winter,2011,3,10,8,0,4,1,3,0.38,0.3939,0.0,0.2836,1,43,44
1559,winter,2011,3,10,9,0,4,1,3,0.4,0.4091,0.0,0.2239,1,23,24
1560,winter,2011,3,10,10,0,4,1,3,0.4,0.4091,0.0,0.1642,0,17,17
1561,winter,2011,3,10,11,0,4,1,3,0.4,0.4091,0.0,0.2537,6,5,11
1562,winter,2011,3,10,12,0,4,1,3,0.42,0.4242,0.0,0.2239,4,30,34
1563,winter,2011,3,10,13,0,4,1,3,0.42,0.4242,0.0,0.2239,1,11,12
1564,winter,2011,3,10,14,0,4,1,3,0.44,0.4394,0.0,0.2985,0,12,12
1565,winter,2011,3,10,15,0,4,1,3,0.44,0.4394,0.0,0.2239,3,11,14
1566,winter,2011,3,10,16,0,4,1,3,0.42,0.4242,0.0,0.2537,1,20,21
1567,winter,2011,3,10,17,0,4,1,2,0.44,0.4394,0.0,0.3881,2,109,111
1568,winter,2011,3,10,18,0,4,1,3,0.44,0.4394,0.0,0.3582,2,80,82
1569,winter,2011,3,10,19,0,4,1,3,0.44,0.4394,0.0,0.5821,5,51,56
1570,winter,2011,3,10,20,0,4,1,3,0.36,0.3333,0.0,0.3284,9,29,38
1571,winter,2011,3,10,21,0,4,1,3,0.36,0.3485,0.0,0.2239,1,27,28
1572,winter,2011,3,10,22,0,4,1,2,0.34,0.3333,0.0,0.1343,4,30,34
1573,winter,2011,3,10,23,0,4,1,3,0.34,0.3485,0.0,0.0896,1,26,27
1574,winter,2011,3,11,0,0,5,1,2,0.34,0.3485,1.0,0.0896,0,6,6
1575,winter,2011,3,11,1,0,5,1,3,0.34,0.3485,1.0,0.1045,0,8,8
1576,winter,2011,3,11,2,0,5,1,3,0.34,0.3485,1.0,0.1045,2,3,5
1577,winter,2011,3,11,3,0,5,1,2,0.32,0.3333,0.93,0.0896,0,2,2
1578,winter,2011,3,11,5,0,5,1,1,0.3,0.2879,0.81,0.2239,1,6,7
1579,winter,2011,3,11,6,0,5,1,1,0.26,0.2424,0.81,0.2836,1,31,32
1580,winter,2011,3,11,7,0,5,1,1,0.26,0.2576,0.7,0.194,10,104,114
1581,winter,2011,3,11,8,0,5,1,1,0.28,0.2727,0.7,0.2537,15,244,259
1582,winter,2011,3,11,9,0,5,1,2,0.3,0.2879,0.61,0.2836,13,143,156
1583,winter,2011,3,11,10,0,5,1,2,0.32,0.303,0.57,0.2985,18,60,78
1584,winter,2011,3,11,11,0,5,1,2,0.32,0.303,0.57,0.2985,14,67,81
1585,winter,2011,3,11,12,0,5,1,2,0.34,0.3182,0.53,0.2537,15,96,111
1586,winter,2011,3,11,13,0,5,1,1,0.36,0.3333,0.53,0.2537,15,92,107
1587,winter,2011,3,11,14,0,5,1,2,0.36,0.3333,0.5,0.3582,25,64,89
1588,winter,2011,3,11,15,0,5,1,2,0.34,0.3182,0.53,0.2537,21,64,85
1589,winter,2011,3,11,16,0,5,1,2,0.34,0.303,0.49,0.2985,18,95,113
1590,winter,2011,3,11,17,0,5,1,1,0.34,0.3182,0.49,0.2239,23,200,223
1591,winter,2011,3,11,18,0,5,1,1,0.32,0.303,0.49,0.3284,19,134,153
1592,winter,2011,3,11,19,0,5,1,1,0.3,0.2727,0.56,0.3284,7,111,118
1593,winter,2011,3,11,20,0,5,1,1,0.3,0.303,0.56,0.1642,6,70,76
1594,winter,2011,3,11,21,0,5,1,2,0.3,0.2879,0.52,0.2537,10,43,53
1595,winter,2011,3,11,22,0,5,1,1,0.3,0.303,0.52,0.1642,11,53,64
1596,winter,2011,3,11,23,0,5,1,1,0.3,0.2879,0.52,0.2537,3,34,37
1597,winter,2011,3,12,0,0,6,0,1,0.26,0.2727,0.6,0.1343,4,30,34
1598,winter,2011,3,12,1,0,6,0,1,0.24,0.2273,0.65,0.194,3,15,18
1599,winter,2011,3,12,2,0,6,0,1,0.24,0.2273,0.65,0.194,0,14,14
1600,winter,2011,3,12,3,0,6,0,1,0.24,0.2273,0.65,0.2537,1,6,7
1601,winter,2011,3,12,4,0,6,0,1,0.24,0.2273,0.65,0.2537,0,1,1
1602,winter,2011,3,12,5,0,6,0,1,0.22,0.2273,0.69,0.194,0,2,2
1603,winter,2011,3,12,6,0,6,0,1,0.22,0.2121,0.75,0.2537,2,2,4
1604,winter,2011,3,12,7,0,6,0,1,0.24,0.2273,0.7,0.194,4,19,23
1605,winter,2011,3,12,8,0,6,0,1,0.26,0.2576,0.65,0.1642,9,44,53
1606,winter,2011,3,12,9,0,6,0,1,0.28,0.2879,0.65,0.1045,25,76,101
1607,winter,2011,3,12,10,0,6,0,1,0.32,0.303,0.66,0.2239,21,78,99
1608,winter,2011,3,12,11,0,6,0,1,0.34,0.303,0.49,0.3284,36,83,119
1609,winter,2011,3,12,12,0,6,0,1,0.34,0.3182,0.53,0.2836,51,107,158
1610,winter,2011,3,12,13,0,6,0,1,0.36,0.3333,0.51,0.3582,62,95,157
1611,winter,2011,3,12,14,0,6,0,1,0.4,0.4091,0.5,0.4478,70,96,166
1612,winter,2011,3,12,15,0,6,0,1,0.42,0.4242,0.44,0.4925,81,101,182
1613,winter,2011,3,12,16,0,6,0,1,0.46,0.4545,0.41,0.4478,100,144,244
1614,winter,2011,3,12,17,0,6,0,1,0.46,0.4545,0.44,0.3284,99,114,213
1615,winter,2011,3,12,18,0,6,0,1,0.42,0.4242,0.54,0.1642,54,91,145
1616,winter,2011,3,12,19,0,6,0,1,0.42,0.4242,0.54,0.0896,26,86,112
1617,winter,2011,3,12,20,0,6,0,1,0.4,0.4091,0.58,0.1045,22,64,86
1618,winter,2011,3,12,21,0,6,0,1,0.38,0.3939,0.62,0.0,36,46,82
1619,winter,2011,3,12,22,0,6,0,1,0.36,0.3788,0.71,0.0,7,56,63
1620,winter,2011,3,12,23,0,6,0,1,0.38,0.3939,0.66,0.0896,11,38,49
1621,winter,2011,3,13,0,0,0,0,1,0.38,0.3939,0.62,0.1045,3,35,38
1622,winter,2011,3,13,1,0,0,0,1,0.36,0.3485,0.66,0.1343,10,23,33
1623,winter,2011,3,13,3,0,0,0,1,0.34,0.3333,0.76,0.1343,6,17,23
1624,winter,2011,3,13,4,0,0,0,1,0.34,0.3333,0.66,0.1642,4,9,13
1625,winter,2011,3,13,5,0,0,0,1,0.36,0.3485,0.62,0.1343,0,3,3
1626,winter,2011,3,13,6,0,0,0,1,0.34,0.3636,0.66,0.0,0,2,2
1627,winter,2011,3,13,7,0,0,0,1,0.36,0.3485,0.62,0.194,2,8,10
1628,winter,2011,3,13,8,0,0,0,1,0.4,0.4091,0.5,0.2985,11,23,34
1629,winter,2011,3,13,9,0,0,0,1,0.4,0.4091,0.5,0.4179,8,36,44
1630,winter,2011,3,13,10,0,0,0,1,0.42,0.4242,0.47,0.2537,36,86,122
1631,winter,2011,3,13,11,0,0,0,1,0.44,0.4394,0.41,0.4179,88,93,181
1632,winter,2011,3,13,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120,194
1633,winter,2011,3,13,13,0,0,0,1,0.46,0.4545,0.38,0.3881,97,124,221
1634,winter,2011,3,13,14,0,0,0,1,0.46,0.4545,0.41,0.2985,144,106,250
1635,winter,2011,3,13,15,0,0,0,1,0.48,0.4697,0.39,0.3284,149,155,304
1636,winter,2011,3,13,16,0,0,0,1,0.46,0.4545,0.41,0.3881,124,132,256
1637,winter,2011,3,13,17,0,0,0,1,0.44,0.4394,0.41,0.3582,98,143,241
1638,winter,2011,3,13,18,0,0,0,1,0.4,0.4091,0.43,0.3582,55,92,147
1639,winter,2011,3,13,19,0,0,0,1,0.36,0.3333,0.5,0.3582,28,73,101
1640,winter,2011,3,13,20,0,0,0,1,0.32,0.303,0.57,0.2985,23,54,77
1641,winter,2011,3,13,21,0,0,0,1,0.3,0.2879,0.56,0.2537,9,49,58
1642,winter,2011,3,13,22,0,0,0,1,0.3,0.2727,0.56,0.3284,8,29,37
1643,winter,2011,3,13,23,0,0,0,1,0.26,0.2576,0.65,0.2239,5,23,28
1644,winter,2011,3,14,0,0,1,1,1,0.26,0.2727,0.65,0.1045,4,7,11
1645,winter,2011,3,14,1,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1
1646,winter,2011,3,14,2,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1
1647,winter,2011,3,14,3,0,1,1,1,0.26,0.2727,0.65,0.1343,0,3,3
1648,winter,2011,3,14,5,0,1,1,1,0.24,0.2424,0.7,0.1343,0,8,8
1649,winter,2011,3,14,6,0,1,1,1,0.26,0.2727,0.65,0.1343,1,27,28
1650,winter,2011,3,14,7,0,1,1,2,0.28,0.3182,0.61,0.0,4,84,88
1651,winter,2011,3,14,8,0,1,1,2,0.3,0.303,0.56,0.1343,24,217,241
1652,winter,2011,3,14,9,0,1,1,1,0.32,0.303,0.53,0.3284,13,127,140
1653,winter,2011,3,14,10,0,1,1,1,0.34,0.3182,0.42,0.2537,27,57,84
1654,winter,2011,3,14,11,0,1,1,1,0.36,0.3333,0.4,0.2537,26,45,71
1655,winter,2011,3,14,12,0,1,1,1,0.38,0.3939,0.37,0.0,40,54,94
1656,winter,2011,3,14,13,0,1,1,1,0.38,0.3939,0.36,0.3284,24,51,75
1657,winter,2011,3,14,14,0,1,1,2,0.38,0.3939,0.34,0.0,27,52,79
1658,winter,2011,3,14,15,0,1,1,1,0.38,0.3939,0.37,0.1642,24,77,101
1659,winter,2011,3,14,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80,107
1660,winter,2011,3,14,17,0,1,1,1,0.38,0.3939,0.4,0.194,42,229,271
1661,winter,2011,3,14,18,0,1,1,1,0.36,0.3636,0.4,0.1045,25,210,235
1662,winter,2011,3,14,19,0,1,1,1,0.36,0.3485,0.43,0.1343,17,133,150
1663,winter,2011,3,14,20,0,1,1,1,0.34,0.3182,0.46,0.2239,23,106,129
1664,winter,2011,3,14,21,0,1,1,1,0.34,0.3333,0.46,0.1343,5,58,63
1665,winter,2011,3,14,22,0,1,1,1,0.32,0.3333,0.49,0.1045,4,43,47
1666,winter,2011,3,14,23,0,1,1,1,0.32,0.3485,0.53,0.0,2,17,19
1667,winter,2011,3,15,0,0,2,1,1,0.32,0.3485,0.53,0.0,7,7,14
1668,winter,2011,3,15,1,0,2,1,1,0.3,0.303,0.62,0.0896,4,6,10
1669,winter,2011,3,15,2,0,2,1,1,0.3,0.303,0.62,0.0896,1,2,3
1670,winter,2011,3,15,4,0,2,1,1,0.24,0.2576,0.75,0.0896,1,1,2
1671,winter,2011,3,15,5,0,2,1,1,0.24,0.2273,0.75,0.194,0,11,11
1672,winter,2011,3,15,6,0,2,1,1,0.22,0.2273,0.8,0.194,3,32,35
1673,winter,2011,3,15,7,0,2,1,1,0.24,0.2424,0.75,0.1642,10,109,119
1674,winter,2011,3,15,8,0,2,1,1,0.26,0.2879,0.7,0.0896,23,259,282
1675,winter,2011,3,15,9,0,2,1,2,0.3,0.3333,0.7,0.0,10,147,157
1676,winter,2011,3,15,10,0,2,1,2,0.32,0.3182,0.66,0.194,22,56,78
1677,winter,2011,3,15,11,0,2,1,2,0.34,0.3182,0.57,0.2239,27,51,78
1678,winter,2011,3,15,12,0,2,1,2,0.36,0.3485,0.5,0.2239,32,70,102
1679,winter,2011,3,15,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74,97
1680,winter,2011,3,15,14,0,2,1,2,0.38,0.3939,0.46,0.2985,14,74,88
1681,winter,2011,3,15,15,0,2,1,2,0.38,0.3939,0.43,0.2836,24,66,90
1682,winter,2011,3,15,16,0,2,1,2,0.38,0.3939,0.46,0.3284,21,93,114
1683,winter,2011,3,15,17,0,2,1,2,0.36,0.3485,0.62,0.194,22,195,217
1684,winter,2011,3,15,18,0,2,1,2,0.36,0.3333,0.62,0.2985,18,207,225
1685,winter,2011,3,15,19,0,2,1,2,0.34,0.3182,0.71,0.2836,14,138,152
1686,winter,2011,3,15,20,0,2,1,2,0.34,0.3182,0.71,0.2836,9,79,88
1687,winter,2011,3,15,21,0,2,1,3,0.32,0.3333,0.81,0.1045,2,53,55
1688,winter,2011,3,15,22,0,2,1,2,0.32,0.3182,0.87,0.1642,1,20,21
1689,winter,2011,3,15,23,0,2,1,2,0.32,0.3182,0.87,0.1642,1,17,18
1690,winter,2011,3,16,0,0,3,1,3,0.3,0.2879,0.93,0.2537,0,8,8
1691,winter,2011,3,16,1,0,3,1,3,0.3,0.2727,1.0,0.2985,1,2,3
1692,winter,2011,3,16,3,0,3,1,2,0.28,0.2727,1.0,0.2239,1,2,3
1693,winter,2011,3,16,4,0,3,1,2,0.3,0.303,0.93,0.1642,0,1,1
1694,winter,2011,3,16,5,0,3,1,2,0.3,0.3182,0.93,0.1045,0,3,3
1695,winter,2011,3,16,6,0,3,1,2,0.3,0.3182,0.93,0.1045,1,30,31
1696,winter,2011,3,16,7,0,3,1,2,0.3,0.2879,0.93,0.194,10,101,111
1697,winter,2011,3,16,8,0,3,1,2,0.32,0.3182,0.93,0.0,26,227,253
1698,winter,2011,3,16,9,0,3,1,2,0.32,0.3333,0.93,0.1343,10,144,154
1699,winter,2011,3,16,10,0,3,1,2,0.36,0.3485,0.81,0.1642,19,49,68
1700,winter,2011,3,16,11,0,3,1,2,0.36,0.3485,0.81,0.1343,13,62,75
1701,winter,2011,3,16,12,0,3,1,2,0.4,0.4091,0.71,0.1045,23,65,88
1702,winter,2011,3,16,13,0,3,1,2,0.4,0.4091,0.76,0.1343,18,81,99
1703,winter,2011,3,16,14,0,3,1,2,0.4,0.4091,0.76,0.2239,33,67,100
1704,winter,2011,3,16,15,0,3,1,2,0.4,0.4091,0.76,0.2537,22,79,101
1705,winter,2011,3,16,16,0,3,1,2,0.4,0.4091,0.76,0.1642,30,121,151
1706,winter,2011,3,16,17,0,3,1,2,0.44,0.4394,0.54,0.2985,37,216,253
1707,winter,2011,3,16,18,0,3,1,2,0.44,0.4394,0.54,0.2239,26,211,237
1708,winter,2011,3,16,19,0,3,1,2,0.44,0.4394,0.51,0.3284,18,150,168
1709,winter,2011,3,16,20,0,3,1,2,0.42,0.4242,0.54,0.2985,10,111,121
1710,winter,2011,3,16,21,0,3,1,2,0.42,0.4242,0.58,0.2836,3,75,78
1711,winter,2011,3,16,22,0,3,1,2,0.4,0.4091,0.62,0.3881,11,48,59
1712,winter,2011,3,16,23,0,3,1,1,0.4,0.4091,0.65,0.194,9,18,27
1713,winter,2011,3,17,0,0,4,1,1,0.38,0.3939,0.66,0.2537,4,19,23
1714,winter,2011,3,17,1,0,4,1,1,0.36,0.3485,0.71,0.2239,1,11,12
1715,winter,2011,3,17,2,0,4,1,1,0.34,0.303,0.71,0.2985,3,5,8
1716,winter,2011,3,17,3,0,4,1,1,0.34,0.3333,0.66,0.1642,1,1,2
1717,winter,2011,3,17,4,0,4,1,1,0.34,0.3333,0.71,0.194,0,3,3
1718,winter,2011,3,17,5,0,4,1,1,0.32,0.3333,0.76,0.1045,0,13,13
1719,winter,2011,3,17,6,0,4,1,1,0.32,0.3182,0.76,0.194,4,47,51
1720,winter,2011,3,17,7,0,4,1,1,0.32,0.3333,0.76,0.1343,12,128,140
1721,winter,2011,3,17,8,0,4,1,1,0.36,0.3485,0.66,0.1343,17,282,299
1722,winter,2011,3,17,9,0,4,1,1,0.4,0.4091,0.62,0.2537,23,162,185
1723,winter,2011,3,17,10,0,4,1,1,0.44,0.4394,0.54,0.3284,9,69,78
1724,winter,2011,3,17,11,0,4,1,1,0.44,0.4394,0.54,0.2836,20,66,86
1725,winter,2011,3,17,12,0,4,1,1,0.5,0.4848,0.45,0.2239,24,81,105
1726,winter,2011,3,17,13,0,4,1,2,0.52,0.5,0.42,0.0896,26,85,111
1727,winter,2011,3,17,14,0,4,1,1,0.5,0.4848,0.45,0.1045,32,87,119
1728,winter,2011,3,17,15,0,4,1,1,0.52,0.5,0.42,0.2537,30,95,125
1729,winter,2011,3,17,16,0,4,1,1,0.5,0.4848,0.48,0.2836,34,108,142
1730,winter,2011,3,17,17,0,4,1,1,0.5,0.4848,0.42,0.194,48,265,313
1731,winter,2011,3,17,18,0,4,1,2,0.46,0.4545,0.59,0.1642,50,260,310
1732,winter,2011,3,17,19,0,4,1,1,0.44,0.4394,0.58,0.194,18,189,207
1733,winter,2011,3,17,20,0,4,1,1,0.42,0.4242,0.67,0.2239,25,112,137
1734,winter,2011,3,17,21,0,4,1,1,0.42,0.4242,0.62,0.2239,19,119,138
1735,winter,2011,3,17,22,0,4,1,1,0.4,0.4091,0.66,0.2239,17,70,87
1736,winter,2011,3,17,23,0,4,1,1,0.42,0.4242,0.62,0.2836,7,43,50
1737,winter,2011,3,18,0,0,5,1,1,0.42,0.4242,0.58,0.2836,5,24,29
1738,winter,2011,3,18,1,0,5,1,1,0.4,0.4091,0.62,0.2537,4,12,16
1739,winter,2011,3,18,2,0,5,1,1,0.4,0.4091,0.62,0.194,5,9,14
1740,winter,2011,3,18,3,0,5,1,1,0.36,0.3485,0.71,0.194,1,4,5
1741,winter,2011,3,18,5,0,5,1,1,0.38,0.3939,0.66,0.1642,2,8,10
1742,winter,2011,3,18,6,0,5,1,1,0.4,0.4091,0.66,0.194,1,35,36
1743,winter,2011,3,18,7,0,5,1,1,0.4,0.4091,0.66,0.194,11,112,123
1744,winter,2011,3,18,8,0,5,1,1,0.42,0.4242,0.67,0.2537,24,256,280
1745,winter,2011,3,18,9,0,5,1,1,0.46,0.4545,0.63,0.2239,18,192,210
1746,winter,2011,3,18,10,0,5,1,1,0.52,0.5,0.53,0.2836,43,74,117
1747,winter,2011,3,18,11,0,5,1,1,0.54,0.5152,0.52,0.2836,55,104,159
1748,winter,2011,3,18,12,0,5,1,2,0.56,0.5303,0.49,0.3582,72,123,195
1749,winter,2011,3,18,13,0,5,1,1,0.64,0.6212,0.41,0.2836,57,118,175
1750,winter,2011,3,18,14,0,5,1,1,0.66,0.6212,0.39,0.2537,71,103,174
1751,winter,2011,3,18,15,0,5,1,2,0.68,0.6364,0.39,0.3582,62,111,173
1752,winter,2011,3,18,16,0,5,1,1,0.68,0.6364,0.39,0.2836,67,137,204
1753,winter,2011,3,18,17,0,5,1,1,0.7,0.6364,0.37,0.3284,95,237,332
1754,winter,2011,3,18,18,0,5,1,1,0.68,0.6364,0.39,0.1642,84,247,331
1755,winter,2011,3,18,19,0,5,1,1,0.66,0.6212,0.44,0.1343,58,132,190
1756,winter,2011,3,18,20,0,5,1,1,0.62,0.6212,0.46,0.1343,46,103,149
1757,winter,2011,3,18,21,0,5,1,1,0.62,0.6212,0.46,0.1045,22,91,113
1758,winter,2011,3,18,22,0,5,1,1,0.62,0.6212,0.5,0.1642,55,63,118
1759,winter,2011,3,18,23,0,5,1,2,0.6,0.6212,0.53,0.2239,26,60,86
1760,winter,2011,3,19,0,0,6,0,2,0.6,0.6212,0.53,0.2537,26,50,76
1761,winter,2011,3,19,1,0,6,0,2,0.58,0.5455,0.46,0.3582,16,35,51
1762,winter,2011,3,19,2,0,6,0,2,0.56,0.5303,0.43,0.2239,5,20,25
1763,winter,2011,3,19,3,0,6,0,2,0.54,0.5152,0.39,0.3284,1,7,8
1764,winter,2011,3,19,4,0,6,0,1,0.52,0.5,0.34,0.4179,1,2,3
1765,winter,2011,3,19,5,0,6,0,1,0.52,0.5,0.34,0.4179,0,2,2
1766,winter,2011,3,19,6,0,6,0,1,0.44,0.4394,0.44,0.4179,0,10,10
1767,winter,2011,3,19,7,0,6,0,1,0.4,0.4091,0.5,0.3284,4,9,13
1768,winter,2011,3,19,8,0,6,0,1,0.42,0.4242,0.47,0.4925,11,37,48
1769,winter,2011,3,19,9,0,6,0,1,0.42,0.4242,0.44,0.4627,35,41,76
1770,winter,2011,3,19,10,0,6,0,1,0.44,0.4394,0.38,0.4179,55,85,140
1771,winter,2011,3,19,11,0,6,0,1,0.46,0.4545,0.36,0.4478,90,106,196
1772,winter,2011,3,19,12,0,6,0,1,0.46,0.4545,0.33,0.4179,126,141,267
1773,winter,2011,3,19,13,0,6,0,1,0.5,0.4848,0.34,0.4627,174,127,301
1774,winter,2011,3,19,14,0,6,0,1,0.5,0.4848,0.31,0.4925,168,144,312
1775,winter,2011,3,19,15,0,6,0,1,0.5,0.4848,0.29,0.4179,170,143,313
1776,winter,2011,3,19,16,0,6,0,1,0.5,0.4848,0.31,0.3881,175,129,304
1777,winter,2011,3,19,17,0,6,0,1,0.48,0.4697,0.31,0.3284,138,140,278
1778,winter,2011,3,19,18,0,6,0,1,0.46,0.4545,0.31,0.3284,92,125,217
1779,winter,2011,3,19,19,0,6,0,1,0.44,0.4394,0.33,0.2836,38,116,154
1780,winter,2011,3,19,20,0,6,0,1,0.42,0.4242,0.35,0.2239,39,69,108
1781,winter,2011,3,19,21,0,6,0,1,0.4,0.4091,0.37,0.2985,20,73,93
1782,winter,2011,3,19,22,0,6,0,1,0.4,0.4091,0.37,0.3284,27,45,72
1783,winter,2011,3,19,23,0,6,0,1,0.38,0.3939,0.4,0.2985,13,37,50
1784,winter,2011,3,20,0,0,0,0,1,0.34,0.303,0.49,0.4179,7,33,40
1785,winter,2011,3,20,1,0,0,0,1,0.32,0.2879,0.53,0.3582,2,22,24
1786,winter,2011,3,20,2,0,0,0,1,0.3,0.2879,0.52,0.2836,6,24,30
1787,winter,2011,3,20,3,0,0,0,1,0.28,0.2727,0.56,0.2537,1,11,12
1788,winter,2011,3,20,4,0,0,0,1,0.26,0.2576,0.56,0.2239,2,1,3
1789,winter,2011,3,20,5,0,0,0,1,0.26,0.2576,0.6,0.194,3,6,9
